"state","mmwr_year","mmwr_week","cases"
"AK",2020,4,0
"AK",2020,5,0
"AK",2020,6,0
"AK",2020,7,0
"AK",2020,8,0
"AK",2020,9,0
"AK",2020,10,0
"AK",2020,11,0
"AK",2020,12,11
"AK",2020,13,52
"AK",2020,14,86
"AK",2020,15,86
"AK",2020,16,65
"AK",2020,17,37
"AK",2020,18,18
"AK",2020,19,19
"AK",2020,20,15
"AK",2020,21,15
"AK",2020,22,23
"AK",2020,23,91
"AK",2020,24,98
"AK",2020,25,97
"AK",2020,26,108
"AK",2020,27,199
"AK",2020,28,253
"AK",2020,29,421
"AK",2020,30,508
"AK",2020,31,684
"AK",2020,32,601
"AK",2020,33,491
"AK",2020,34,558
"AK",2020,35,465
"AK",2020,36,474
"AK",2020,37,547
"AK",2020,38,529
"AK",2020,39,642
"AK",2020,40,833
"AK",2020,41,1020
"AK",2020,42,1341
"AK",2020,43,1538
"AK",2020,44,2614
"AK",2020,45,2727
"AK",2020,46,3598
"AK",2020,47,4316
"AK",2020,48,4112
"AK",2020,49,4524
"AK",2020,50,4622
"AK",2020,51,3417
"AK",2020,52,2223
"AK",2020,53,1724
"AK",2021,1,2026
"AK",2021,2,1973
"AK",2021,3,1377
"AK",2021,4,1181
"AK",2021,5,946
"AK",2021,6,989
"AK",2021,7,807
"AK",2021,8,885
"AK",2021,9,876
"AK",2021,10,910
"AK",2021,11,914
"AK",2021,12,944
"AK",2021,13,1186
"AK",2021,14,1208
"AK",2021,15,1113
"AK",2021,16,1146
"AK",2021,17,1042
"AK",2021,18,731
"AK",2021,19,565
"AK",2021,20,453
"AK",2021,21,297
"AK",2021,22,230
"AK",2021,23,185
"AK",2021,24,155
"AK",2021,25,237
"AK",2021,26,257
"AK",2021,27,313
"AK",2021,28,572
"AK",2021,29,1199
"AK",2021,30,1546
"AK",2021,31,1892
"AK",2021,32,2112
"AK",2021,33,3001
"AK",2021,34,3357
"AK",2021,35,3651
"AK",2021,36,4264
"AK",2021,37,4887
"AK",2021,38,6258
"AK",2021,39,8436
"AK",2021,40,5744
"AK",2021,41,6177
"AK",2021,42,5530
"AK",2021,43,4625
"AK",2021,44,4134
"AK",2021,45,3391
"AK",2021,46,2919
"AK",2021,47,2349
"AK",2021,48,1716
"AK",2021,49,1510
"AK",2021,50,1219
"AK",2021,51,1046
"AK",2021,52,2080
"AK",2022,1,5523
"AK",2022,2,12166
"AK",2022,3,15735
"AK",2022,4,16839
"AK",2022,5,13422
"AK",2022,6,8117
"AK",2022,7,3958
"AK",2022,8,2684
"AK",2022,9,2091
"AK",2022,10,2440
"AK",2022,11,1407
"AK",2022,12,1423
"AK",2022,13,1445
"AK",2022,14,1377
"AK",2022,15,1237
"AK",2022,16,1513
"AK",2022,17,1425
"AK",2022,18,1417
"AK",2022,19,1539
"AK",2022,20,1697
"AK",2022,21,1881
"AK",2022,22,1944
"AK",2022,23,2057
"AK",2022,24,1982
"AK",2022,25,2137
"AK",2022,26,2766
"AK",2022,27,1988
"AK",2022,28,2133
"AK",2022,29,2345
"AK",2022,30,2050
"AK",2022,31,2573
"AK",2022,32,1868
"AK",2022,33,1465
"AK",2022,34,1673
"AK",2022,35,1208
"AK",2022,36,879
"AK",2022,37,950
"AK",2022,38,644
"AK",2022,39,550
"AK",2022,40,637
"AK",2022,41,511
"AK",2022,42,347
"AK",2022,43,379
"AK",2022,44,359
"AK",2022,45,199
"AK",2022,46,390
"AK",2022,47,430
"AK",2022,48,398
"AK",2022,49,496
"AK",2022,50,354
"AK",2022,51,380
"AK",2022,52,332
"AK",2023,1,371
"AK",2023,2,470
"AK",2023,3,649
"AK",2023,4,654
"AK",2023,5,793
"AK",2023,6,692
"AK",2023,7,786
"AK",2023,8,775
"AK",2023,9,448
"AK",2023,10,582
"AK",2023,11,448
"AK",2023,12,496
"AK",2023,13,514
"AK",2023,14,401
"AK",2023,15,358
"AK",2023,16,361
"AK",2023,17,280
"AK",2023,18,188
"AK",2023,19,199
"AL",2020,4,0
"AL",2020,5,0
"AL",2020,6,0
"AL",2020,7,0
"AL",2020,8,0
"AL",2020,9,0
"AL",2020,10,0
"AL",2020,11,3
"AL",2020,12,58
"AL",2020,13,411
"AL",2020,14,703
"AL",2020,15,1439
"AL",2020,16,1693
"AL",2020,17,1385
"AL",2020,18,1287
"AL",2020,19,1790
"AL",2020,20,2053
"AL",2020,21,2364
"AL",2020,22,3077
"AL",2020,23,2691
"AL",2020,24,3705
"AL",2020,25,5282
"AL",2020,26,4937
"AL",2020,27,6769
"AL",2020,28,8502
"AL",2020,29,12045
"AL",2020,30,12400
"AL",2020,31,12058
"AL",2020,32,10671
"AL",2020,33,8896
"AL",2020,34,7477
"AL",2020,35,8208
"AL",2020,36,8336
"AL",2020,37,5821
"AL",2020,38,6362
"AL",2020,39,6474
"AL",2020,40,7875
"AL",2020,41,6313
"AL",2020,42,7535
"AL",2020,43,7985
"AL",2020,44,12170
"AL",2020,45,10152
"AL",2020,46,9710
"AL",2020,47,14851
"AL",2020,48,15830
"AL",2020,49,17510
"AL",2020,50,23359
"AL",2020,51,25453
"AL",2020,52,28929
"AL",2020,53,22251
"AL",2021,1,27365
"AL",2021,2,26811
"AL",2021,3,18659
"AL",2021,4,19432
"AL",2021,5,15974
"AL",2021,6,10954
"AL",2021,7,7162
"AL",2021,8,6988
"AL",2021,9,6979
"AL",2021,10,4256
"AL",2021,11,8065
"AL",2021,12,3204
"AL",2021,13,2684
"AL",2021,14,2095
"AL",2021,15,3311
"AL",2021,16,3546
"AL",2021,17,2780
"AL",2021,18,2374
"AL",2021,19,2289
"AL",2021,20,9142
"AL",2021,21,1938
"AL",2021,22,1760
"AL",2021,23,2241
"AL",2021,24,1476
"AL",2021,25,1091
"AL",2021,26,1583
"AL",2021,27,1932
"AL",2021,28,3702
"AL",2021,29,7331
"AL",2021,30,13519
"AL",2021,31,18353
"AL",2021,32,23936
"AL",2021,33,26099
"AL",2021,34,19802
"AL",2021,35,38767
"AL",2021,36,27734
"AL",2021,37,25739
"AL",2021,38,20656
"AL",2021,39,16224
"AL",2021,40,9478
"AL",2021,41,6249
"AL",2021,42,5498
"AL",2021,43,12645
"AL",2021,44,4838
"AL",2021,45,3858
"AL",2021,46,3595
"AL",2021,47,3272
"AL",2021,48,2100
"AL",2021,49,3792
"AL",2021,50,4786
"AL",2021,51,6226
"AL",2021,52,19197
"AL",2022,1,51943
"AL",2022,2,72372
"AL",2022,3,83748
"AL",2022,4,73560
"AL",2022,5,67370
"AL",2022,6,24732
"AL",2022,7,13876
"AL",2022,8,7449
"AL",2022,9,6249
"AL",2022,10,6217
"AL",2022,11,2315
"AL",2022,12,1789
"AL",2022,13,3088
"AL",2022,14,1271
"AL",2022,15,1106
"AL",2022,16,1245
"AL",2022,17,1637
"AL",2022,18,1530
"AL",2022,19,2023
"AL",2022,20,2835
"AL",2022,21,3859
"AL",2022,22,5413
"AL",2022,23,7023
"AL",2022,24,8495
"AL",2022,25,10698
"AL",2022,26,13190
"AL",2022,27,12230
"AL",2022,28,17266
"AL",2022,29,17057
"AL",2022,30,17182
"AL",2022,31,5336
"AL",2022,32,12047
"AL",2022,33,13354
"AL",2022,34,14121
"AL",2022,35,15672
"AL",2022,36,14695
"AL",2022,37,9880
"AL",2022,38,7954
"AL",2022,39,5770
"AL",2022,40,4231
"AL",2022,41,3589
"AL",2022,42,3015
"AL",2022,43,2566
"AL",2022,44,2982
"AL",2022,45,6042
"AL",2022,46,1898
"AL",2022,47,2872
"AL",2022,48,4186
"AL",2022,49,5807
"AL",2022,50,6465
"AL",2022,51,7377
"AL",2022,52,4703
"AL",2023,1,13587
"AL",2023,2,8925
"AL",2023,3,6742
"AL",2023,4,7644
"AL",2023,5,7315
"AL",2023,6,9820
"AL",2023,7,6073
"AL",2023,8,4605
"AL",2023,9,3714
"AL",2023,10,2471
"AL",2023,11,1890
"AL",2023,12,1962
"AL",2023,13,2064
"AL",2023,14,2020
"AL",2023,15,1632
"AL",2023,16,1560
"AL",2023,17,1514
"AL",2023,18,1464
"AL",2023,19,1297
"AR",2020,4,0
"AR",2020,5,0
"AR",2020,6,1
"AR",2020,7,3
"AR",2020,8,1
"AR",2020,9,3
"AR",2020,10,0
"AR",2020,11,8
"AR",2020,12,70
"AR",2020,13,279
"AR",2020,14,374
"AR",2020,15,490
"AR",2020,16,668
"AR",2020,17,901
"AR",2020,18,699
"AR",2020,19,649
"AR",2020,20,723
"AR",2020,21,925
"AR",2020,22,1042
"AR",2020,23,1876
"AR",2020,24,2724
"AR",2020,25,2682
"AR",2020,26,4294
"AR",2020,27,3365
"AR",2020,28,3449
"AR",2020,29,4108
"AR",2020,30,4649
"AR",2020,31,5594
"AR",2020,32,5415
"AR",2020,33,4779
"AR",2020,34,4230
"AR",2020,35,3913
"AR",2020,36,4444
"AR",2020,37,4874
"AR",2020,38,4935
"AR",2020,39,5589
"AR",2020,40,5539
"AR",2020,41,5183
"AR",2020,42,6206
"AR",2020,43,6427
"AR",2020,44,7040
"AR",2020,45,7168
"AR",2020,46,10652
"AR",2020,47,11340
"AR",2020,48,12594
"AR",2020,49,11911
"AR",2020,50,15149
"AR",2020,51,15451
"AR",2020,52,14873
"AR",2020,53,15229
"AR",2021,1,19429
"AR",2021,2,19328
"AR",2021,3,14198
"AR",2021,4,12587
"AR",2021,5,11525
"AR",2021,6,9359
"AR",2021,7,4378
"AR",2021,8,3238
"AR",2021,9,7403
"AR",2021,10,2284
"AR",2021,11,2067
"AR",2021,12,1431
"AR",2021,13,1172
"AR",2021,14,1074
"AR",2021,15,1163
"AR",2021,16,1378
"AR",2021,17,1234
"AR",2021,18,1488
"AR",2021,19,1299
"AR",2021,20,1339
"AR",2021,21,1286
"AR",2021,22,992
"AR",2021,23,1251
"AR",2021,24,1741
"AR",2021,25,1908
"AR",2021,26,2822
"AR",2021,27,3771
"AR",2021,28,7084
"AR",2021,29,8272
"AR",2021,30,12451
"AR",2021,31,13834
"AR",2021,32,16339
"AR",2021,33,15039
"AR",2021,34,15663
"AR",2021,35,14878
"AR",2021,36,11928
"AR",2021,37,11569
"AR",2021,38,9115
"AR",2021,39,6819
"AR",2021,40,5112
"AR",2021,41,4615
"AR",2021,42,3985
"AR",2021,43,3110
"AR",2021,44,3122
"AR",2021,45,3313
"AR",2021,46,4477
"AR",2021,47,3648
"AR",2021,48,3879
"AR",2021,49,5636
"AR",2021,50,4931
"AR",2021,51,5681
"AR",2021,52,11305
"AR",2022,1,30310
"AR",2022,2,50319
"AR",2022,3,62896
"AR",2022,4,46255
"AR",2022,5,30339
"AR",2022,6,9671
"AR",2022,7,9355
"AR",2022,8,6077
"AR",2022,9,3937
"AR",2022,10,2661
"AR",2022,11,2840
"AR",2022,12,3671
"AR",2022,13,868
"AR",2022,14,800
"AR",2022,15,866
"AR",2022,16,829
"AR",2022,17,1074
"AR",2022,18,1140
"AR",2022,19,1465
"AR",2022,20,1881
"AR",2022,21,2276
"AR",2022,22,2153
"AR",2022,23,3948
"AR",2022,24,4355
"AR",2022,25,4799
"AR",2022,26,6789
"AR",2022,27,7165
"AR",2022,28,9623
"AR",2022,29,9188
"AR",2022,30,8311
"AR",2022,31,7004
"AR",2022,32,6139
"AR",2022,33,6010
"AR",2022,34,5967
"AR",2022,35,6480
"AR",2022,36,5540
"AR",2022,37,5359
"AR",2022,38,3908
"AR",2022,39,2726
"AR",2022,40,1839
"AR",2022,41,1805
"AR",2022,42,1910
"AR",2022,43,1703
"AR",2022,44,1838
"AR",2022,45,1961
"AR",2022,46,1726
"AR",2022,47,1695
"AR",2022,48,2366
"AR",2022,49,3384
"AR",2022,50,3517
"AR",2022,51,3680
"AR",2022,52,2759
"AR",2023,1,3824
"AR",2023,2,3183
"AR",2023,3,2222
"AR",2023,4,2321
"AR",2023,5,1605
"AR",2023,6,1870
"AR",2023,7,1431
"AR",2023,8,3081
"AR",2023,9,1451
"AR",2023,10,1448
"AR",2023,11,1240
"AR",2023,12,990
"AR",2023,13,781
"AR",2023,14,918
"AR",2023,15,714
"AR",2023,16,1051
"AR",2023,17,713
"AR",2023,18,898
"AR",2023,19,657
"AZ",2020,4,0
"AZ",2020,5,1
"AZ",2020,6,0
"AZ",2020,7,0
"AZ",2020,8,0
"AZ",2020,9,0
"AZ",2020,10,0
"AZ",2020,11,8
"AZ",2020,12,18
"AZ",2020,13,374
"AZ",2020,14,1012
"AZ",2020,15,1313
"AZ",2020,16,1243
"AZ",2020,17,1504
"AZ",2020,18,1736
"AZ",2020,19,2498
"AZ",2020,20,2509
"AZ",2020,21,2690
"AZ",2020,22,2413
"AZ",2020,23,5035
"AZ",2020,24,7498
"AZ",2020,25,11085
"AZ",2020,26,19253
"AZ",2020,27,23925
"AZ",2020,28,24499
"AZ",2020,29,22740
"AZ",2020,30,19264
"AZ",2020,31,17657
"AZ",2020,32,13935
"AZ",2020,33,7233
"AZ",2020,34,6117
"AZ",2020,35,3909
"AZ",2020,36,3392
"AZ",2020,37,3680
"AZ",2020,38,3366
"AZ",2020,39,5381
"AZ",2020,40,3220
"AZ",2020,41,4033
"AZ",2020,42,5096
"AZ",2020,43,6275
"AZ",2020,44,7253
"AZ",2020,45,9468
"AZ",2020,46,14530
"AZ",2020,47,17939
"AZ",2020,48,27748
"AZ",2020,49,30129
"AZ",2020,50,41622
"AZ",2020,51,46684
"AZ",2020,52,43988
"AZ",2020,53,39216
"AZ",2021,1,62191
"AZ",2021,2,67049
"AZ",2021,3,48815
"AZ",2021,4,48017
"AZ",2021,5,28818
"AZ",2021,6,21883
"AZ",2021,7,11793
"AZ",2021,8,10913
"AZ",2021,9,7848
"AZ",2021,10,8652
"AZ",2021,11,5391
"AZ",2021,12,3969
"AZ",2021,13,3979
"AZ",2021,14,4424
"AZ",2021,15,5034
"AZ",2021,16,4539
"AZ",2021,17,4968
"AZ",2021,18,5236
"AZ",2021,19,4603
"AZ",2021,20,3951
"AZ",2021,21,3750
"AZ",2021,22,3868
"AZ",2021,23,2822
"AZ",2021,24,2971
"AZ",2021,25,3052
"AZ",2021,26,3847
"AZ",2021,27,3411
"AZ",2021,28,5568
"AZ",2021,29,7611
"AZ",2021,30,9983
"AZ",2021,31,14202
"AZ",2021,32,17150
"AZ",2021,33,20128
"AZ",2021,34,18384
"AZ",2021,35,25354
"AZ",2021,36,20350
"AZ",2021,37,18906
"AZ",2021,38,16944
