"mmwr_week","mmwr_year","deaths","State"
1,2020,0,"AK"
2,2020,0,"AK"
3,2020,0,"AK"
4,2020,0,"AK"
5,2020,0,"AK"
6,2020,0,"AK"
7,2020,0,"AK"
8,2020,0,"AK"
9,2020,0,"AK"
10,2020,0,"AK"
11,2020,0,"AK"
12,2020,0,"AK"
13,2020,NA,"AK"
14,2020,NA,"AK"
15,2020,NA,"AK"
16,2020,NA,"AK"
17,2020,0,"AK"
18,2020,0,"AK"
19,2020,NA,"AK"
20,2020,0,"AK"
21,2020,0,"AK"
22,2020,0,"AK"
23,2020,0,"AK"
24,2020,NA,"AK"
25,2020,0,"AK"
26,2020,0,"AK"
27,2020,NA,"AK"
28,2020,NA,"AK"
29,2020,NA,"AK"
30,2020,NA,"AK"
31,2020,NA,"AK"
32,2020,NA,"AK"
33,2020,NA,"AK"
34,2020,NA,"AK"
35,2020,NA,"AK"
36,2020,NA,"AK"
37,2020,NA,"AK"
38,2020,NA,"AK"
39,2020,NA,"AK"
40,2020,NA,"AK"
41,2020,NA,"AK"
42,2020,10,"AK"
43,2020,NA,"AK"
44,2020,10,"AK"
45,2020,NA,"AK"
46,2020,16,"AK"
47,2020,15,"AK"
48,2020,21,"AK"
49,2020,31,"AK"
50,2020,24,"AK"
51,2020,20,"AK"
52,2020,24,"AK"
53,2020,10,"AK"
NA,2020,0,"AK"
NA,2020,0,"AK"
NA,2020,NA,"AK"
NA,2020,NA,"AK"
NA,2020,NA,"AK"
NA,2020,NA,"AK"
NA,2020,12,"AK"
NA,2020,19,"AK"
NA,2020,12,"AK"
NA,2020,34,"AK"
NA,2020,69,"AK"
NA,2020,97,"AK"
NA,2020,254,"AK"
1,2021,13,"AK"
2,2021,NA,"AK"
3,2021,NA,"AK"
4,2021,NA,"AK"
5,2021,NA,"AK"
6,2021,NA,"AK"
7,2021,NA,"AK"
8,2021,NA,"AK"
9,2021,NA,"AK"
10,2021,NA,"AK"
11,2021,NA,"AK"
12,2021,NA,"AK"
13,2021,NA,"AK"
14,2021,NA,"AK"
15,2021,NA,"AK"
16,2021,NA,"AK"
17,2021,NA,"AK"
18,2021,13,"AK"
19,2021,10,"AK"
20,2021,NA,"AK"
21,2021,NA,"AK"
22,2021,NA,"AK"
23,2021,NA,"AK"
24,2021,NA,"AK"
25,2021,NA,"AK"
26,2021,NA,"AK"
27,2021,NA,"AK"
28,2021,0,"AK"
29,2021,NA,"AK"
30,2021,16,"AK"
31,2021,26,"AK"
32,2021,23,"AK"
33,2021,23,"AK"
34,2021,22,"AK"
35,2021,38,"AK"
36,2021,31,"AK"
37,2021,42,"AK"
38,2021,55,"AK"
39,2021,57,"AK"
40,2021,43,"AK"
41,2021,44,"AK"
42,2021,50,"AK"
43,2021,59,"AK"
44,2021,38,"AK"
45,2021,25,"AK"
46,2021,25,"AK"
47,2021,29,"AK"
48,2021,17,"AK"
49,2021,17,"AK"
50,2021,NA,"AK"
51,2021,10,"AK"
52,2021,NA,"AK"
NA,2021,37,"AK"
NA,2021,18,"AK"
NA,2021,16,"AK"
NA,2021,17,"AK"
NA,2021,32,"AK"
NA,2021,NA,"AK"
NA,2021,25,"AK"
NA,2021,110,"AK"
NA,2021,190,"AK"
NA,2021,220,"AK"
NA,2021,115,"AK"
NA,2021,55,"AK"
NA,2021,839,"AK"
1,2022,16,"AK"
2,2022,13,"AK"
3,2022,17,"AK"
4,2022,20,"AK"
5,2022,15,"AK"
6,2022,25,"AK"
7,2022,22,"AK"
8,2022,15,"AK"
9,2022,16,"AK"
10,2022,NA,"AK"
11,2022,NA,"AK"
12,2022,NA,"AK"
13,2022,NA,"AK"
14,2022,NA,"AK"
15,2022,NA,"AK"
16,2022,NA,"AK"
17,2022,NA,"AK"
18,2022,NA,"AK"
19,2022,NA,"AK"
20,2022,NA,"AK"
21,2022,NA,"AK"
22,2022,NA,"AK"
23,2022,NA,"AK"
24,2022,NA,"AK"
25,2022,NA,"AK"
26,2022,NA,"AK"
27,2022,NA,"AK"
28,2022,NA,"AK"
29,2022,NA,"AK"
30,2022,NA,"AK"
31,2022,NA,"AK"
32,2022,NA,"AK"
33,2022,NA,"AK"
34,2022,NA,"AK"
35,2022,NA,"AK"
36,2022,NA,"AK"
37,2022,NA,"AK"
38,2022,NA,"AK"
39,2022,NA,"AK"
40,2022,NA,"AK"
41,2022,NA,"AK"
42,2022,NA,"AK"
43,2022,NA,"AK"
44,2022,NA,"AK"
45,2022,0,"AK"
46,2022,NA,"AK"
47,2022,NA,"AK"
48,2022,0,"AK"
49,2022,NA,"AK"
50,2022,NA,"AK"
51,2022,NA,"AK"
52,2022,NA,"AK"
NA,2022,68,"AK"
NA,2022,79,"AK"
NA,2022,31,"AK"
NA,2022,20,"AK"
NA,2022,21,"AK"
NA,2022,19,"AK"
NA,2022,25,"AK"
NA,2022,23,"AK"
NA,2022,17,"AK"
NA,2022,11,"AK"
NA,2022,NA,"AK"
NA,2022,NA,"AK"
NA,2022,330,"AK"
1,2023,NA,"AK"
2,2023,NA,"AK"
3,2023,NA,"AK"
4,2023,NA,"AK"
5,2023,0,"AK"
6,2023,NA,"AK"
7,2023,NA,"AK"
8,2023,NA,"AK"
9,2023,NA,"AK"
10,2023,NA,"AK"
11,2023,NA,"AK"
12,2023,NA,"AK"
13,2023,0,"AK"
14,2023,0,"AK"
15,2023,NA,"AK"
16,2023,NA,"AK"
17,2023,NA,"AK"
18,2023,NA,"AK"
19,2023,NA,"AK"
20,2023,NA,"AK"
21,2023,NA,"AK"
22,2023,NA,"AK"
23,2023,NA,"AK"
24,2023,NA,"AK"
25,2023,NA,"AK"
26,2023,0,"AK"
27,2023,NA,"AK"
28,2023,NA,"AK"
29,2023,NA,"AK"
30,2023,NA,"AK"
31,2023,NA,"AK"
32,2023,NA,"AK"
33,2023,0,"AK"
34,2023,NA,"AK"
35,2023,NA,"AK"
36,2023,NA,"AK"
37,2023,NA,"AK"
38,2023,NA,"AK"
39,2023,NA,"AK"
40,2023,NA,"AK"
41,2023,NA,"AK"
42,2023,NA,"AK"
43,2023,NA,"AK"
44,2023,NA,"AK"
45,2023,0,"AK"
46,2023,NA,"AK"
47,2023,0,"AK"
48,2023,0,"AK"
49,2023,0,"AK"
50,2023,0,"AK"
51,2023,NA,"AK"
52,2023,0,"AK"
NA,2023,NA,"AK"
NA,2023,13,"AK"
NA,2023,NA,"AK"
NA,2023,NA,"AK"
NA,2023,NA,"AK"
NA,2023,NA,"AK"
NA,2023,NA,"AK"
NA,2023,10,"AK"
NA,2023,14,"AK"
NA,2023,11,"AK"
NA,2023,NA,"AK"
1,2024,0,"AK"
2,2024,NA,"AK"
3,2024,NA,"AK"
4,2024,NA,"AK"
5,2024,NA,"AK"
6,2024,NA,"AK"
7,2024,NA,"AK"
8,2024,NA,"AK"
9,2024,NA,"AK"
10,2024,NA,"AK"
11,2024,NA,"AK"
12,2024,NA,"AK"
13,2024,NA,"AK"
14,2024,0,"AK"
15,2024,0,"AK"
16,2024,NA,"AK"
17,2024,NA,"AK"
18,2024,0,"AK"
19,2024,NA,"AK"
20,2024,NA,"AK"
21,2024,NA,"AK"
22,2024,NA,"AK"
23,2024,0,"AK"
24,2024,0,"AK"
25,2024,NA,"AK"
26,2024,NA,"AK"
27,2024,NA,"AK"
28,2024,NA,"AK"
29,2024,NA,"AK"
30,2024,NA,"AK"
31,2024,NA,"AK"
32,2024,NA,"AK"
33,2024,NA,"AK"
34,2024,NA,"AK"
35,2024,NA,"AK"
36,2024,NA,"AK"
37,2024,0,"AK"
38,2024,NA,"AK"
39,2024,0,"AK"
40,2024,NA,"AK"
41,2024,NA,"AK"
42,2024,0,"AK"
43,2024,0,"AK"
44,2024,0,"AK"
45,2024,NA,"AK"
46,2024,0,"AK"
47,2024,0,"AK"
48,2024,0,"AK"
49,2024,0,"AK"
NA,2024,NA,"AK"
NA,2024,NA,"AK"
NA,2024,NA,"AK"
NA,2024,13,"AK"
NA,2024,NA,"AK"
NA,2024,NA,"AK"
NA,2024,NA,"AK"
NA,2024,NA,"AK"
NA,2024,10,"AK"
NA,2024,NA,"AK"
NA,2024,NA,"AK"
NA,2024,NA,"AK"
NA,2024,102,"AK"
NA,2024,71,"AK"
NA,2024,1596,"AK"
NA,2025,0,"AK"
1,2020,0,"AL"
2,2020,0,"AL"
3,2020,0,"AL"
4,2020,NA,"AL"
5,2020,0,"AL"
6,2020,0,"AL"
7,2020,0,"AL"
8,2020,0,"AL"
9,2020,NA,"AL"
10,2020,0,"AL"
11,2020,0,"AL"
12,2020,NA,"AL"
13,2020,23,"AL"
14,2020,49,"AL"
15,2020,81,"AL"
16,2020,89,"AL"
