"state_name","year","population","state","region","region_name"
"Oklahoma",2020,3962031,"OK",6,"South Central"
"Oklahoma",2021,3986639,"OK",6,"South Central"
"Nebraska",2020,1961455,"NE",7,"Central Plains"
"Nebraska",2021,1963692,"NE",7,"Central Plains"
"Hawaii",2020,1451911,"HI",9,"Pacific"
"Hawaii",2021,1441553,"HI",9,"Pacific"
"South Dakota",2020,887099,"SD",8,"Mountain States"
"South Dakota",2021,895376,"SD",8,"Mountain States"
"Tennessee",2020,6920119,"TN",4,"Southeast"
"Tennessee",2021,6975218,"TN",4,"Southeast"
"Nevada",2020,3114071,"NV",9,"Pacific"
"Nevada",2021,3143991,"NV",9,"Pacific"
"New Mexico",2020,2117566,"NM",6,"South Central"
"New Mexico",2021,2115877,"NM",6,"South Central"
"Iowa",2020,3188669,"IA",7,"Central Plains"
"Iowa",2021,3193079,"IA",7,"Central Plains"
"Kansas",2020,2935880,"KS",7,"Central Plains"
"Kansas",2021,2934582,"KS",7,"Central Plains"
"District of Columbia",2020,690093,"DC",3,"Mid-Atlantic"
"District of Columbia",2021,670050,"DC",3,"Mid-Atlantic"
"Texas",2020,29217653,"TX",6,"South Central"
"Texas",2021,29527941,"TX",6,"South Central"
"Missouri",2020,6154481,"MO",7,"Central Plains"
"Missouri",2021,6168187,"MO",7,"Central Plains"
"Arkansas",2020,3012232,"AR",6,"South Central"
"Arkansas",2021,3025891,"AR",6,"South Central"
"Michigan",2020,10067664,"MI",5,"Midwest"
"Michigan",2021,10050811,"MI",5,"Midwest"
"New Hampshire",2020,1377848,"NH",1,"New England"
"New Hampshire",2021,1388992,"NH",1,"New England"
"North Carolina",2020,10457177,"NC",4,"Southeast"
"North Carolina",2021,10551162,"NC",4,"Southeast"
"Ohio",2020,11790587,"OH",5,"Midwest"
"Ohio",2021,11780017,"OH",5,"Midwest"
"South Carolina",2020,5130729,"SC",4,"Southeast"
"South Carolina",2021,5190705,"SC",4,"Southeast"
"Wyoming",2020,577267,"WY",8,"Mountain States"
"Wyoming",2021,578803,"WY",8,"Mountain States"
"California",2020,39499738,"CA",9,"Pacific"
"California",2021,39237836,"CA",9,"Pacific"
"North Dakota",2020,778962,"ND",8,"Mountain States"
"North Dakota",2021,774948,"ND",8,"Mountain States"
"Louisiana",2020,4651203,"LA",6,"South Central"
"Louisiana",2021,4624047,"LA",6,"South Central"
"Maryland",2020,6172679,"MD",3,"Mid-Atlantic"
"Maryland",2021,6165129,"MD",3,"Mid-Atlantic"
"Delaware",2020,991886,"DE",3,"Mid-Atlantic"
"Delaware",2021,1003384,"DE",3,"Mid-Atlantic"
"Pennsylvania",2020,12989625,"PA",3,"Mid-Atlantic"
"Pennsylvania",2021,12964056,"PA",3,"Mid-Atlantic"
"Georgia",2020,10725800,"GA",4,"Southeast"
"Georgia",2021,10799566,"GA",4,"Southeast"
"Oregon",2020,4241544,"OR",10,"Pacific Northwest"
"Oregon",2021,4246155,"OR",10,"Pacific Northwest"
"Minnesota",2020,5707165,"MN",5,"Midwest"
"Minnesota",2021,5707390,"MN",5,"Midwest"
"Colorado",2020,5784308,"CO",8,"Mountain States"
"Colorado",2021,5812069,"CO",8,"Mountain States"
"New Jersey",2020,9279743,"NJ",2,"NY, NJ, PR, VI"
"New Jersey",2021,9267130,"NJ",2,"NY, NJ, PR, VI"
"Kentucky",2020,4503958,"KY",4,"Southeast"
"Kentucky",2021,4509394,"KY",4,"Southeast"
"Washington",2020,7718785,"WA",10,"Pacific Northwest"
"Washington",2021,7738692,"WA",10,"Pacific Northwest"
"Maine",2020,1362280,"ME",1,"New England"
"Maine",2021,1372247,"ME",1,"New England"
"Vermont",2020,642495,"VT",1,"New England"
"Vermont",2021,645570,"VT",1,"New England"
"Idaho",2020,1847772,"ID",10,"Pacific Northwest"
"Idaho",2021,1900923,"ID",10,"Pacific Northwest"
"Indiana",2020,6785644,"IN",5,"Midwest"
"Indiana",2021,6805985,"IN",5,"Midwest"
"Montana",2020,1086193,"MT",8,"Mountain States"
"Montana",2021,1104271,"MT",8,"Mountain States"
"New York",2020,20154933,"NY",2,"NY, NJ, PR, VI"
"New York",2021,19835913,"NY",2,"NY, NJ, PR, VI"
"Puerto Rico",2020,3281538,"PR",2,"NY, NJ, PR, VI"
"Puerto Rico",2021,3263584,"PR",2,"NY, NJ, PR, VI"
"Connecticut",2020,3600260,"CT",1,"New England"
"Connecticut",2021,3605597,"CT",1,"New England"
"Florida",2020,21569932,"FL",4,"Southeast"
"Florida",2021,21781128,"FL",4,"Southeast"
"Virginia",2020,8632044,"VA",3,"Mid-Atlantic"
"Virginia",2021,8642274,"VA",3,"Mid-Atlantic"
"Massachusetts",2020,7022220,"MA",1,"New England"
"Massachusetts",2021,6984723,"MA",1,"New England"
"Illinois",2020,12785245,"IL",5,"Midwest"
"Illinois",2021,12671469,"IL",5,"Midwest"
"Mississippi",2020,2956870,"MS",4,"Southeast"
"Mississippi",2021,2949965,"MS",4,"Southeast"
"Arizona",2020,7177986,"AZ",9,"Pacific"
"Arizona",2021,7276316,"AZ",9,"Pacific"
"Utah",2020,3281684,"UT",8,"Mountain States"
"Utah",2021,3337975,"UT",8,"Mountain States"
"Wisconsin",2020,5892323,"WI",5,"Midwest"
"Wisconsin",2021,5895908,"WI",5,"Midwest"
"Alabama",2020,5024803,"AL",4,"Southeast"
"Alabama",2021,5039877,"AL",4,"Southeast"
"West Virginia",2020,1789798,"WV",3,"Mid-Atlantic"
"West Virginia",2021,1782959,"WV",3,"Mid-Atlantic"
"Rhode Island",2020,1096229,"RI",1,"New England"
"Rhode Island",2021,1095610,"RI",1,"New England"
"Alaska",2020,732441,"AK",10,"Pacific Northwest"
"Alaska",2021,732673,"AK",10,"Pacific Northwest"
"Alabama",2022,5073903,"AL",4,"Southeast"
"Alabama",2023,5108468,"AL",4,"Southeast"
"Alaska",2022,733276,"AK",10,"Pacific Northwest"
"Alaska",2023,733406,"AK",10,"Pacific Northwest"
"Arizona",2022,7365684,"AZ",9,"Pacific"
"Arizona",2023,7431344,"AZ",9,"Pacific"
"Arkansas",2022,3046404,"AR",6,"South Central"
"Arkansas",2023,3067732,"AR",6,"South Central"
"California",2022,39040616,"CA",9,"Pacific"
"California",2023,38965193,"CA",9,"Pacific"
"Colorado",2022,5841039,"CO",8,"Mountain States"
"Colorado",2023,5877610,"CO",8,"Mountain States"
"Connecticut",2022,3608706,"CT",1,"New England"
"Connecticut",2023,3617176,"CT",1,"New England"
"Delaware",2022,1019459,"DE",3,"Mid-Atlantic"
"Delaware",2023,1031890,"DE",3,"Mid-Atlantic"
"District of Columbia",2022,670949,"DC",3,"Mid-Atlantic"
"District of Columbia",2023,678972,"DC",3,"Mid-Atlantic"
"Florida",2022,22245521,"FL",4,"Southeast"
"Florida",2023,22610726,"FL",4,"Southeast"
"Georgia",2022,10913150,"GA",4,"Southeast"
"Georgia",2023,11029227,"GA",4,"Southeast"
"Hawaii",2022,1439399,"HI",9,"Pacific"
"Hawaii",2023,1435138,"HI",9,"Pacific"
"Idaho",2022,1938996,"ID",10,"Pacific Northwest"
"Idaho",2023,1964726,"ID",10,"Pacific Northwest"
"Illinois",2022,12582515,"IL",5,"Midwest"
"Illinois",2023,12549689,"IL",5,"Midwest"
"Indiana",2022,6832274,"IN",5,"Midwest"
"Indiana",2023,6862199,"IN",5,"Midwest"
"Iowa",2022,3199693,"IA",7,"Central Plains"
"Iowa",2023,3207004,"IA",7,"Central Plains"
"Kansas",2022,2936716,"KS",7,"Central Plains"
"Kansas",2023,2940546,"KS",7,"Central Plains"
"Kentucky",2022,4511563,"KY",4,"Southeast"
"Kentucky",2023,4526154,"KY",4,"Southeast"
"Louisiana",2022,4588023,"LA",6,"South Central"
"Louisiana",2023,4573749,"LA",6,"South Central"
"Maine",2022,1389338,"ME",1,"New England"
"Maine",2023,1395722,"ME",1,"New England"
"Maryland",2022,6163981,"MD",3,"Mid-Atlantic"
"Maryland",2023,6180253,"MD",3,"Mid-Atlantic"
"Massachusetts",2022,6982740,"MA",1,"New England"
"Massachusetts",2023,7001399,"MA",1,"New England"
"Michigan",2022,10033281,"MI",5,"Midwest"
"Michigan",2023,10037261,"MI",5,"Midwest"
"Minnesota",2022,5714300,"MN",5,"Midwest"
"Minnesota",2023,5737915,"MN",5,"Midwest"
"Mississippi",2022,2938928,"MS",4,"Southeast"
"Mississippi",2023,2939690,"MS",4,"Southeast"
"Missouri",2022,6177168,"MO",7,"Central Plains"
"Missouri",2023,6196156,"MO",7,"Central Plains"
"Montana",2022,1122878,"MT",8,"Mountain States"
"Montana",2023,1132812,"MT",8,"Mountain States"
